分詞,詞性,句法,變調
"伊｜i1 講-的｜kong2-e5 是｜si7 𪜶｜in1 故-鄉｜koo3-hiong1 的｜e5 土-話｜thoo2-ue7 ，｜, 我｜gua2 聽｜thiann1 攏｜long2 無｜bo5 。｜.
","['Nh', 'VE', 'SHI', 'Nh', 'Nc', 'DE', 'Na', 'PUNC', 'Nh', 'VE', 'D', 'D', 'PUNC']","(ROOT
  (IP
    (IP
      (CP (IP (VP (VV 伊｜i1))) (DEC 講-的｜kong2-e5))
      (IP
        (VP
          (VA 是｜si7)
          (IP
            (NP (NR 𪜶｜in1))
            (NP (NN 故-鄉｜koo3-hiong1))
            (VP (ADVP (AD 的｜e5)) (VP (NN 土-話｜thoo2-ue7)))))))
    (PU ，｜,)
    (CP
      (IP (NP (PN 我｜gua2)) (VP (VV 聽｜thiann1) (AS 攏｜long2)))
      (SP 無｜bo5))
    (PU 。｜.)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋-通｜m7-thang1 定-定｜tiann7-tiann7 講｜kong2 大-話｜tua7-ue7 。｜.
","['D', 'D', 'VE', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 毋-通｜m7-thang1)
        (NN 定-定｜tiann7-tiann7)
        (NN 講｜kong2)
        (NN 大-話｜tua7-ue7)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"較-早｜khah4-tsa2 有｜u7 真｜tsin1 濟｜tse7 山-賊｜suann1-tshat8 佇｜ti7 遮｜tsia1 出-入｜tshut4-jip8 。｜.
","['Nd', 'V_2', 'Dfa', 'VH', 'Na', 'P', 'Ncd', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (LCP (ADVP (AD 較-早｜khah4-tsa2)) (LC 有｜u7))
      (VP
        (ADVP (AD 真｜tsin1))
        (AS 濟｜tse7)
        (IP
          (NP (NN 山-賊｜suann1-tshat8))
          (VP
            (VP (VV 佇｜ti7) (NP (PN 遮｜tsia1)))
            (VP (VV 出-入｜tshut4-jip8))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"𪜶｜in1 兜｜tau1 蹛｜tua3 佇｜ti7 山-跤｜suann1-kha1 。｜.
","['Nh', 'Nc', 'VCL', 'P', 'Ncd', 'PUNC']","(ROOT
  (FRAG
    (LCP
      (LCP (NP (DP (DT 𪜶｜in1)) (NP (NN 兜｜tau1))) (LC 蹛｜tua3))
      (LCP (NP (VV 佇｜ti7)) (LC 山-跤｜suann1-kha1)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"𪜶｜in1 兜｜tau1 倩｜tshiann3 真｜tsin1 濟｜tse7 下-跤-手-人｜e7-kha1-tshiu2-lang5 。｜.
","['Nh', 'Nc', 'VF', 'Dfa', 'VH', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NP
          (NP (NN 𪜶｜in1) (NN 兜｜tau1) (NN 倩｜tshiann3) (NN 真｜tsin1))
          (NP (NN 濟｜tse7)))
        (NP (NN 下-跤-手-人｜e7-kha1-tshiu2-lang5))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜gua2 有｜u7 一｜tsit8 雙｜siang1 大-跤-胴｜tua7-kha1-tang5 。｜.
","['Nh', 'V_2', 'Neu', 'Nf', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 我｜gua2)
        (NN 有｜u7)
        (NN 一｜tsit8)
        (NN 雙｜siang1)
        (NN 大-跤-胴｜tua7-kha1-tang5)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"三-跤-貓｜sann1-kha1-niau1 笑｜tshio3 一｜tsit8 目｜bak8 狗｜kau2 。｜.
","['Na', 'VA', 'Neu', 'Nf', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (NP (NN 三-跤-貓｜sann1-kha1-niau1) (NN 笑｜tshio3))
      (NP (QP (CD 一｜tsit8)) (NP (NN 目｜bak8))))
    (PU 狗｜kau2)
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 真-正｜tsin1-tsiann3 有-夠｜u7-kau3 低-路｜ke7-loo7 ，｜, 連｜lian5 這｜tsit4 款｜khuan2 工-課｜khang1-khue3 都｜to1 袂-曉｜be7-hiau2 做｜tso3 。｜.
","['Nh', 'D', 'Dfa', 'D', 'PUNC', 'Cbb', 'Nep', 'Nf', 'Na', 'D', 'D', 'VC', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (VP (VV 你｜li2))
        (PU 真-正｜tsin1-tsiann3)
        (VP (VCD (VA 有-夠｜u7-kau3) (VA 低-路｜ke7-loo7)))))
    (PU ，｜,)
    (PU 連｜lian5)
    (NP
      (DNP (NP (NR 這｜tsit4)) (DEG 款｜khuan2))
      (NP (NN 工-課｜khang1-khue3)))
    (VP (ADVP (AD 都｜to1)) (VP (VV 袂-曉｜be7-hiau2) (VP (VV 做｜tso3))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"按｜an3 這｜tsit4 條｜tiau5 大-路｜tua7-loo7 直-直｜tit8-tit8 去｜khi3 就｜to7 到｜kau3 阮｜guan2 兜-矣｜tau1-ah4 。｜.
","['P', 'Nep', 'Nf', 'Na', 'D', 'D', 'D', 'P', 'Nh', 'Na', 'PUNC']","(ROOT
  (IP
    (PP
      (P 按｜an3)
      (CP
        (IP
          (VP
            (DEG 這｜tsit4)
            (VP
              (CLP (M 條｜tiau5))
              (CP
                (CP
                  (IP
                    (NP (NN 大-路｜tua7-loo7))
                    (VP
                      (ADVP (AD 直-直｜tit8-tit8))
                      (VP (VV 去｜khi3) (AS 就｜to7))))
                  (SP 到｜kau3))
                (SP 阮｜guan2)))))
        (SP 兜-矣｜tau1-ah4)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 著｜tioh8 較｜khah4 大-路-咧｜tua7-loo7-leh4 ，｜, 毋-通｜m7-thang1 凍-霜｜tang3-sng1 。｜.
","['Nh', 'D', 'Dfa', 'Na', 'PUNC', 'D', 'VH', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NN 你｜li2))
      (VP
        (NP
          (QP (CD 著｜tioh8))
          (QP (CD 較｜khah4))
          (NP (NN 大-路-咧｜tua7-loo7-leh4)))))
    (PU ，｜,)
    (IP (VP (NP (NN 毋-通｜m7-thang1) (NN 凍-霜｜tang3-sng1))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜tsit4 條｜tiau5 小-路｜sio2-loo7 真｜tsin1 歹｜phainn2 行｜kiann5 。｜.
","['Nep', 'Nf', 'Na', 'Dfa', 'VH', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 這｜tsit4)
      (VP
        (VV 條｜tiau5)
        (VP
          (VV 小-路｜sio2-loo7)
          (VP (VV 真｜tsin1) (VP (VRD (VV 歹｜phainn2) (VV 行｜kiann5)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"時-機｜si5-ki1 遐｜hiah4 䆀｜bai2 ，｜, 三｜sann1 頓｜tng3 若｜na7 顧｜koo3 會｜e7 齊-勻｜tsiau5-un5 就｜to7 誠｜tsiann5 佳-哉-矣｜ka1-tsai3-ah4 。｜.
","['Na', 'D', 'VH', 'PUNC', 'Neu', 'Nf', 'Cbb', 'VC', 'D', 'VH', 'D', 'Dfa', 'Na', 'PUNC']","(ROOT
  (IP
    (IP (NP (NN 時-機｜si5-ki1)) (VP (VCD (VA 遐｜hiah4) (VA 䆀｜bai2))))
    (PU ，｜,)
    (IP
      (NP (NN 三｜sann1) (NN 頓｜tng3) (NN 若｜na7))
      (VP (VV 顧｜koo3) (IP (NP (NN 會｜e7)) (VP (VA 齊-勻｜tsiau5-un5)))))
    (PU 就｜to7)
    (IP (VP (NP (NN 誠｜tsiann5) (NN 佳-哉-矣｜ka1-tsai3-ah4))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阮｜guan2 阿-公｜a1-kong1 七-十｜tshit4-tsap8 歲｜hue3 大-壽｜tua7-siu7 的｜e5 時-陣｜si5-tsun7 ，｜, 阮｜guan2 兜｜tau1 有｜u7 辦-桌｜pan7-toh4 請-人｜tshiann2-lang5 。｜.
","['Nh', 'Na', 'Neu', 'Nf', 'Na', 'DE', 'Na', 'PUNC', 'Nh', 'Nc', 'V_2', 'VA', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NP (NN 阮｜guan2)) (NP (NN 阿-公｜a1-kong1)))
    (NP (NP (NN 七-十｜tshit4-tsap8)) (NP (NN 歲｜hue3)))
    (NP (NP (NN 大-壽｜tua7-siu7)) (NP (NN 的｜e5)))
    (VP
      (NP (NN 時-陣｜si5-tsun7))
      (PU ，｜,)
      (VP
        (VV 阮｜guan2)
        (IP
          (VP
            (VV 兜｜tau1)
            (IP
              (VP
                (VV 有｜u7)
                (IP
                  (VP
                    (VCD (VV 辦-桌｜pan7-toh4) (VV 請-人｜tshiann2-lang5))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 今-仔｜tann1-a2 五-十｜goo7-tsap8 歲｜hue3 爾-爾｜nia7-nia7 ，｜, 哪｜na2 會｜e7 未-曾-未｜bue7-tsing5-bue7 就｜to7 共｜ka7 大-壽｜tua7-siu7 買｜be2 好-矣｜ho2-ah4 。｜.
","['Nh', 'D', 'Neu', 'Nf', 'T', 'PUNC', 'D', 'D', 'D', 'D', 'P', 'Na', 'VC', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (ADVP (AD 你｜li2))
        (VP
          (ADVP (AD 今-仔｜tann1-a2))
          (ADVP (AD 五-十｜goo7-tsap8))
          (VP (ADVP (AD 歲｜hue3)) (ADVP (AD 爾-爾｜nia7-nia7))))))
    (PU ，｜,)
    (IP
      (NP (DP (DT 哪｜na2)) (NP (NN 會｜e7)))
      (VP
        (ADVP (AD 未-曾-未｜bue7-tsing5-bue7))
        (PU 就｜to7)
        (VP
          (VV 共｜ka7)
          (CP
            (IP (NP (NN 大-壽｜tua7-siu7)) (VP (VV 買｜be2)))
            (SP 好-矣｜ho2-ah4)))))
    (PU 。｜.)))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 生-做｜senn1-tso3 足｜tsiok4 大-漢｜tua7-han3 。｜.
","['Nh', 'VC', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (VA 伊｜i1)
      (VA 生-做｜senn1-tso3)
      (VCD (VA 足｜tsiok4) (VA 大-漢｜tua7-han3)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"囝｜kiann2 若｜na7 大-漢｜tua7-han3 ，｜, 老-爸｜lau7-pe7 就｜to7 輕-鬆-矣｜khin1-sang1-ah4 。｜.
","['Na', 'Cbb', 'VH', 'PUNC', 'Na', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VCD (VV 囝｜kiann2) (VV 若｜na7))
      (CP
        (IP
          (ADVP (VV 大-漢｜tua7-han3))
          (PU ，｜,)
          (VP (VV 老-爸｜lau7-pe7) (AS 就｜to7)))
        (SP 輕-鬆-矣｜khin1-sang1-ah4)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 是｜si7 大-漢-的｜tua7-han3-e5 。｜.
","['Nh', 'SHI', 'Na', 'PUNC']","(ROOT
  (IP
    (VP (NP (NN 伊｜i1) (NN 是｜si7) (NN 大-漢-的｜tua7-han3-e5)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"伊｜i1 傷｜siunn1 大-箍-矣｜tua7-khoo1-ah4 。｜.
","['Nh', 'Dfa', 'Na', 'PUNC']","(ROOT
  (IP
    (IP (VP (VV 伊｜i1) (AS 傷｜siunn1)) (SP 大-箍-矣｜tua7-khoo1-ah4))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜hit4 箍｜khoo1 柴｜tsha5 真｜tsin1 大-箍｜tua7-khoo1 。｜.
","['Nep', 'Nf', 'Na', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (ADJP (JJ 彼｜hit4))
        (ADJP (JJ 箍｜khoo1))
        (ADJP (JJ 柴｜tsha5))
        (ADJP (JJ 真｜tsin1))
        (JJ 大-箍｜tua7-khoo1)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"一｜tsit8 箍｜khoo1 是｜si7 大-箍｜tua7-khoo1 抑｜iah8 細-箍｜se3-khoo1 ？｜?
","['Neu', 'Nf', 'SHI', 'VH', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 一｜tsit8)
        (NN 箍｜khoo1)
        (NN 是｜si7)
        (NN 大-箍｜tua7-khoo1)
        (NN 抑｜iah8)
        (NN 細-箍｜se3-khoo1)))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜tse1 上｜siong7 緊｜kin2 嘛｜ma7 著｜tioh8 愛｜ai3 到｜kau3 後-日｜au7-jit8 才-會｜tsiah4-e7 好｜ho2 。｜.
","['Nep', 'Dfa', 'D', 'D', 'D', 'D', 'P', 'Nd', 'Da', 'VH', 'PUNC']","(ROOT
  (IP
    (IP (LCP (NP (NN 這｜tse1)) (LC 上｜siong7)) (VP (VA 緊｜kin2)))
    (VP
      (SP 嘛｜ma7)
      (AS 著｜tioh8)
      (IP
        (NP (NN 愛｜ai3) (VV 到｜kau3) (NN 後-日｜au7-jit8))
        (VP (VV 才-會｜tsiah4-e7) (NP (NN 好｜ho2)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這-過｜tsit4-kue3 買-的｜be2-e5 三-層-肉｜sam1-tsan5-bah4 真｜tsin1 好-食｜ho2-tsiah8 。｜.
","['Nep', 'Na', 'Na', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (VA 這-過｜tsit4-kue3)
      (VA 買-的｜be2-e5)
      (VP
        (VA 三-層-肉｜sam1-tsan5-bah4)
        (VA 真｜tsin1)
        (VA 好-食｜ho2-tsiah8)))
    (PU 。｜.)))","['規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"遮｜tsia1 小-數｜sio2-soo3 錢｜tsinn5 ，｜, 毋-免｜m7-bian2 計-較｜ke3-kau3 。｜.
","['Ncd', 'Na', 'Na', 'PUNC', 'D', 'VK', 'PUNC']","(ROOT
  (IP
    (NP (NN 遮｜tsia1) (NN 小-數｜sio2-soo3) (NN 錢｜tsinn5))
    (PU ，｜,)
    (VP (VV 毋-免｜m7-bian2) (NP (VV 計-較｜ke3-kau3)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"囡-仔｜gin2-a2 當｜tng1 佇-咧｜ti7-teh4 拍｜phah4 干-樂｜kan1-lok8 。｜.
","['Na', 'D', 'Na', 'VC', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 囡-仔｜gin2-a2)
        (NN 當｜tng1)
        (NN 佇-咧｜ti7-teh4)
        (NN 拍｜phah4)
        (NN 干-樂｜kan1-lok8)))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜hit4 个｜e5 查-某｜tsa1-boo2 囡-仔｜gin2-a2 看-起-來｜khuann3-khi2-lai5 真｜tsin1 大-範｜tua7-pan7 。｜.
","['Nep', 'Nf', 'Na', 'Na', 'Na', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (NP
      (NP (NP (NN 彼｜hit4) (NN 个｜e5)) (NP (NN 查-某｜tsa1-boo2)))
      (NP (NN 囡-仔｜gin2-a2)))
    (VP
      (VV 看-起-來｜khuann3-khi2-lai5)
      (NP (NN 真｜tsin1) (NN 大-範｜tua7-pan7)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜hit4 領｜nia2 洋-裝｜iunn5-tsong1 看-起-來｜khuann3-khi2-lai5 真｜tsin1 大-範｜tua7-pan7 。｜.
","['Nep', 'Nf', 'Na', 'Na', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (ADJP (JJ 彼｜hit4))
        (ADJP (JJ 領｜nia2))
        (ADJP (JJ 洋-裝｜iunn5-tsong1))
        (NP
          (NN 看-起-來｜khuann3-khi2-lai5)
          (NN 真｜tsin1)
          (NN 大-範｜tua7-pan7))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"老-師｜lau7-su1 當｜tng1 佇｜ti7 課-堂｜kho3-tng5 上-課｜siong7-kho3 。｜.
","['Na', 'D', 'P', 'Nc', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 老-師｜lau7-su1)
      (IP
        (VP
          (VV 當｜tng1)
          (IP
            (VP
              (VV 佇｜ti7)
              (IP
                (VP
                  (VV 課-堂｜kho3-tng5)
                  (IP (VP (VV 上-課｜siong7-kho3))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"學-生｜hak8-sing1 囡-仔｜gin2-a2 逐｜tak8 工｜kang1 攏｜long2 愛｜ai3 去｜khi3 學-校｜hak8-hau7 上-課｜siong7-kho3 。｜.
","['Na', 'Na', 'Nes', 'Nf', 'D', 'D', 'D', 'Nc', 'VA', 'PUNC']","(ROOT
  (UCP
    (NP (NN 學-生｜hak8-sing1))
    (PU 囡-仔｜gin2-a2)
    (IP
      (VP
        (VV 逐｜tak8)
        (NP (NN 工｜kang1))
        (IP
          (VP
            (VV 攏｜long2)
            (IP
              (VP
                (VP (VV 愛｜ai3) (NP (NN 去｜khi3) (NN 學-校｜hak8-hau7)))
                (VP (VV 上-課｜siong7-kho3))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜gua2 的｜e5 工-課｜khang1-khue3 足｜tsiok4 濟-的｜tse7-e5 。｜.
","['Nh', 'DE', 'Na', 'Dfa', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (QP
        (DFL (CD 我｜gua2))
        (QP
          (CD 的｜e5)
          (CD 工-課｜khang1-khue3)
          (CD 足｜tsiok4)
          (CD 濟-的｜tse7-e5))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"有｜u7 才-調｜tsai5-tiau7 你｜li2 早｜tsa2 就｜to7 考-牢-矣｜kho2-tiau5-ah4 ！｜!
","['V_2', 'Na', 'Nh', 'D', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (CP
      (IP (VP (VV 有｜u7) (AS 才-調｜tsai5-tiau7)) (SP 你｜li2))
      (SP 早｜tsa2)
      (SP 就｜to7)
      (SP 考-牢-矣｜kho2-tiau5-ah4))
    (PU ！｜!)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阮｜guan2 遮｜tsia1 干-焦｜kan1-na1 做｜tso3 大-賣｜tua7-be7 ，｜, 無｜bo5 咧｜teh4 賣｜be7 零-星-的｜lan5-san1-e5 。｜.
","['Nh', 'Ncd', 'Da', 'VC', 'Na', 'PUNC', 'D', 'P', 'VD', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NP
          (NP
            (NN 阮｜guan2)
            (NN 遮｜tsia1)
            (NN 干-焦｜kan1-na1)
            (NN 做｜tso3))
          (NP (NN 大-賣｜tua7-be7)))
        (PU ，｜,)
        (NP
          (NN 無｜bo5)
          (NN 咧｜teh4)
          (NN 賣｜be7)
          (NN 零-星-的｜lan5-san1-e5))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '再變調$', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"小-賣｜sio2-be7 的｜e5 價-數｜ke3-siau3 是｜si7 有｜u7 較｜khah4 貴-啦｜kui3-lah4 。｜.
","['Na', 'DE', 'Na', 'SHI', 'V_2', 'Dfa', 'Na', 'PUNC']","(ROOT
  (CP
    (SP 小-賣｜sio2-be7)
    (FLR (SP 的｜e5))
    (FLR (SP 價-數｜ke3-siau3))
    (FLR (SP 是｜si7))
    (FLR (SP 有｜u7))
    (FLR (SP 較｜khah4))
    (FLR (SP 貴-啦｜kui3-lah4))
    (PU 。｜.)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜gua2 感-覺｜kam2-kak4 山-豬-仔｜suann1-ti1-a2 肉｜bah4 較｜khah4 好-食｜ho2-tsiah8 。｜.
","['Nh', 'VK', 'Na', 'Na', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (VA 我｜gua2)
      (VA 感-覺｜kam2-kak4)
      (VP
        (VP (VA 山-豬-仔｜suann1-ti1-a2) (VA 肉｜bah4) (VA 較｜khah4))
        (VP (VA 好-食｜ho2-tsiah8))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"大-學｜tai7-hak8 畢-業｜pit4-giap8 了-後｜liau2-au7 就｜to7 愛｜ai3 揣｜tshue7 頭-路｜thau5-loo7 。｜.
","['Nc', 'VH', 'Ng', 'D', 'D', 'VC', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 大-學｜tai7-hak8)
      (DFL (VV 畢-業｜pit4-giap8))
      (IP
        (VP
          (VV 了-後｜liau2-au7)
          (VP
            (VV 就｜to7)
            (IP
              (VP (VV 愛｜ai3) (DFL (VV 揣｜tshue7)) (VV 頭-路｜thau5-loo7)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"「｜"" 捀-斗｜phang5-tau2 送｜sang3 上｜tsiunn7 山-頭｜suann1-thau5 」｜"" 是｜si7 大-孫｜tua7-sun1 的｜e5 任-務｜jim7-bu7 。｜.
","['PUNC', 'Na', 'VD', 'VCL', 'Na', 'PUNC', 'SHI', 'Na', 'DE', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (IP
        (PU 「｜"")
        (VP
          (VV 捀-斗｜phang5-tau2)
          (IP
            (VP
              (VV 送｜sang3)
              (IP (VP (VCD (VV 上｜tsiunn7) (VV 山-頭｜suann1-thau5)))))))
        (PU 」｜""))
      (NP (NN 是｜si7) (NN 大-孫｜tua7-sun1) (NN 的｜e5) (NN 任-務｜jim7-bu7)))
    (PU 。｜.)))","['毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"阮｜guan2 的｜e5 工-頭｜kang1-thau5 看-起-來｜khuann3-khi2-lai5 猶-閣｜iau2-koh4 真｜tsin1 少-年｜siau3-lian5 。｜.
","['Nh', 'DE', 'Na', 'Na', 'D', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (ADJP (JJ 阮｜guan2))
        (ADJP (JJ 的｜e5))
        (ADJP (JJ 工-頭｜kang1-thau5))
        (ADJP (JJ 看-起-來｜khuann3-khi2-lai5))
        (ADJP (JJ 猶-閣｜iau2-koh4))
        (ADJP (JJ 真｜tsin1))
        (NP (NN 少-年｜siau3-lian5))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"工-頭-工-尾｜kang1-thau5-kang1-bue2 攏｜long2 愛｜ai3 顧｜koo3 好｜ho2 。｜.
","['Na', 'D', 'D', 'VC', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 工-頭-工-尾｜kang1-thau5-kang1-bue2)
      (IP
        (IP (VP (VV 攏｜long2)))
        (VP (VV 愛｜ai3) (VP (VV 顧｜koo3) (IP (VP (VV 好｜ho2)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 的｜e5 大-頭-拇｜tua7-thau5-bu2 予｜hoo7 刀-仔｜to1-a2 割-著-矣｜kuah4-tioh8-ah4 。｜.
","['Nh', 'DE', 'Na', 'P', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (CP
        (IP (VP (VV 伊｜i1) (AS 的｜e5)) (SP 大-頭-拇｜tua7-thau5-bu2))
        (SP 予｜hoo7)
        (SP 刀-仔｜to1-a2)
        (SP 割-著-矣｜kuah4-tioh8-ah4)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
