分詞,詞性,句法,變調
"一｜Tsi̍t 條｜tiâu 遮｜tsiah 古-錐｜kóo-tsui ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (QP (CD 一｜Tsi̍t) (CLP (M 條｜tiâu)))
    (VP (VV 遮｜tsiah) (NP (NN 古-錐｜kóo-tsui)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"小-可-仔｜Sió-khuá-á 激-骨｜kik-kut ，｜, 滾-耍-笑-的｜Kún-sńg-tshiò-ê 流-行｜liû-hîng 歌｜kua
","['Na', 'Na', 'PUNC', 'Na', 'Na', 'Na']","(ROOT
  (NP
    (NP (NN 小-可-仔｜Sió-khuá-á) (NN 激-骨｜kik-kut))
    (PU ，｜,)
    (NP
      (DEC 滾-耍-笑-的｜Kún-sńg-tshiò-ê)
      (NP (JJ 流-行｜liû-hîng) (NN 歌｜kua)))))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '本調#']"
"竟｜Kìng 然｜liân 予｜hōo 查-埔｜tsa-poo 查｜tshâ 某｜bóo 冤-家｜uan-ke 相-罵｜sio-mē 相｜sio 吵｜tshá 喙-脣-皮｜Tshuì-tûn-phuê 拚-輸-贏｜piànn-su-iânn
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 竟｜Kìng))
      (ADVP (AD 然｜liân))
      (VP
        (VP
          (VV 予｜hōo)
          (NP (NR 查-埔｜tsa-poo))
          (IP
            (VP
              (VV 查｜tshâ)
              (IP
                (NP (DP (DT 某｜bóo)) (NP (NN 冤-家｜uan-ke)))
                (VP (VV 相-罵｜sio-mē))))))
        (VP
          (ADVP (AD 相｜sio))
          (VP
            (VV 吵｜tshá)
            (NP (NN 喙-脣-皮｜Tshuì-tûn-phuê) (NN 拚-輸-贏｜piànn-su-iânn))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"你｜Lí 若｜ná 因｜in 為｜uî 按｜àn 呢｜ne 講｜kóng 伊｜i 是-無｜sī-bô 好-的｜hó-ê 歌｜Kua 就｜tiō 毋｜m̄ 著-矣-啦｜tio̍h-ah-lah ！｜!
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (ADVP (CS 若｜ná))
      (VP
        (PP
          (P 因｜in)
          (CP
            (IP
              (VP
                (P 為｜uî)
                (IP
                  (VP
                    (PP
                      (P 按｜àn)
                      (FLR (SP 呢｜ne))
                      (IP
                        (VP
                          (VV 講｜kóng)
                          (NP
                            (CP
                              (IP (NP (NR 伊｜i)) (VP (VE 是-無｜sī-bô)))
                              (DEC 好-的｜hó-ê))
                            (NP (NN 歌｜Kua))))))
                    (ADVP (AD 就｜tiō))
                    (VP (AD 毋｜m̄))))))
            (SP 著-矣-啦｜tio̍h-ah-lah)))))
    (PU ！｜!)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜Sī 時｜sî 代｜tài 查-某-人｜tsa-bóo-lâng ，｜, 無-地｜Bô-tè 位｜uī ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (LCP (NP (NN 彼｜Sī)) (LC 時｜sî))
      (VP (VV 代｜tài) (NP (PN 查-某-人｜tsa-bóo-lâng))))
    (PU ，｜,)
    (IP (NP (NN 無-地｜Bô-tè)) (VP (VV 位｜uī)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '本調#', '毋是台語']"
"無｜Bô 像｜tshiōnn 現｜hiàn 代｜tài 的｜ê 查-某-人｜tsa-poo-lâng 講-話｜kóng-uē 較｜khah 大-聲｜tuā-siann 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VE 無｜Bô)
      (IP
        (PP
          (P 像｜tshiōnn)
          (NP
            (CP (IP (VP (NP (NT 現｜hiàn)) (VP (VV 代｜tài)))) (DEC 的｜ê))
            (NP (NN 查-某-人｜tsa-poo-lâng))))
        (VP
          (VV 講-話｜kóng-uē)
          (VP (ADVP (AD 較｜khah)) (VP (VA 大-聲｜tuā-siann))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"予-人｜Hōo-lâng 休｜hiu 掉｜tiāu 退｜thè 貨｜huè 是｜sī 有｜ū 聽-過｜thiann-kuè ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 予-人｜Hōo-lâng))
    (VP
      (VP
        (VP (VRD (VV 休｜hiu) (VV 掉｜tiāu)))
        (VP (VV 退｜thè) (NP (NN 貨｜huè))))
      (VP (VC 是｜sī) (VP (VE 有｜ū) (AS 聽-過｜thiann-kuè))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋｜M̄ 過｜kò 這｜tsit 條｜tiâu 歌｜kua 只-是｜tsí-sī 唱｜tshiūnn 好｜hó 耍｜sńg 爾-爾｜niā-niā ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (ADVP (AD 毋｜M̄))
    (IP
      (VP
        (VV 過｜kò)
        (NP (DP (DT 這｜tsit) (CLP (M 條｜tiâu))) (NP (NN 歌｜kua)))))
    (ADVP (AD 只-是｜tsí-sī))
    (VRD (VV 唱｜tshiūnn) (VA 好｜hó))
    (VP (VV 耍｜sńg) (NP (NR 爾-爾｜niā-niā)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這-个｜Tsit-ê 查-埔-人｜tsa-poo-lâng ，｜, 嘛｜Mà 是｜sī 看-有｜khuànn-ū 食-無｜tsia̍h-bô 干｜kan 焦｜tann 癮｜giàn ，｜,
","['Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (NP (DP (DT 這-个｜Tsit-ê)) (NP (NN 查-埔-人｜tsa-poo-lâng)))
        (PU ，｜,)
        (SP 嘛｜Mà)
        (VP
          (VC 是｜sī)
          (VP
            (VNV (VE 看-有｜khuànn-ū) (VE 食-無｜tsia̍h-bô))
            (VP (VV 干｜kan) (NP (NN 焦｜tann) (NN 癮｜giàn)))))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"唱｜Tshiònn 歌｜kua 來｜lâi 消-敨｜siau-tháu 心-內｜sim-lāi 的｜ê 鬱-卒｜ut-tsut niâ｜niâ 厝-裡｜Tshù-lí 有｜ū 煮-飯｜tsú-pn̄g 的｜ê ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (CP
    (IP
      (NP
        (CP
          (IP
            (VP
              (VP (VV 唱｜Tshiònn) (NP (NN 歌｜kua)))
              (VP
                (MSP 來｜lâi)
                (VP (VV 消-敨｜siau-tháu) (NP (NN 心-內｜sim-lāi))))))
          (DEC 的｜ê))
        (NP (NN 鬱-卒｜ut-tsut) (NN niâ｜niâ) (NN 厝-裡｜Tshù-lí)))
      (VP (VE 有｜ū) (NP (NN 煮-飯｜tsú-pn̄g))))
    (SP 的｜ê)
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"算｜Sǹg 來｜lâi 伊｜i 猶-是｜iáu-sī 一-个｜tsi̍t-ê 純｜sûn 情｜tsîng 的｜ê 查-埔-囝｜tsa-poo-kiánn
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (IP (VP (VV 算｜Sǹg) (IP (VP (VV 來｜lâi) (NP (NR 伊｜i))))))
    (VP
      (VC 猶-是｜iáu-sī)
      (NP
        (DNP
          (NP
            (QP (CLP (M 一-个｜tsi̍t-ê)))
            (ADJP (JJ 純｜sûn))
            (NP (NN 情｜tsîng)))
          (DEG 的｜ê))
        (NP (NN 查-埔-囝｜tsa-poo-kiánn))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '本調#']"
"講｜Kóng 著｜tiō 純｜sûn 情｜tsîng
","['Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VV 講｜Kóng)
      (AS 著｜tiō)
      (NP (ADJP (JJ 純｜sûn)) (NP (NN 情｜tsîng))))))","['規則變調', '規則變調', '規則變調', '本調#']"
"敢｜Kám 一-定｜it-tīng 著｜tiō 純｜sûn 愛-情｜ài-tsîng ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 敢｜Kám)
      (NP
        (ADJP (JJ 一-定｜it-tīng))
        (AS 著｜tiō)
        (ADJP (JJ 純｜sûn))
        (NP (NN 愛-情｜ài-tsîng))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"現｜Hiàn 代｜tài 的｜ê 歌｜kua 星｜tshinn 蕭｜siau 煌｜hông 奇｜kî 唱｜tshiūnn 一｜tsit 條｜tiâu 枋｜pāng 橋｜kiû 純｜sûn 情｜tsîng 曲｜Khioh ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (CP (IP (VP (ADVP (AD 現｜Hiàn)) (VP (VV 代｜tài)))) (DEC 的｜ê))
      (NP (NN 歌｜kua) (NN 星｜tshinn))
      (NP (NR 蕭｜siau)))
    (VP
      (VP (VV 煌｜hông) (NP (NN 奇｜kî)))
      (VP
        (VP
          (VV 唱｜tshiūnn)
          (NP
            (QP (CD 一｜tsit) (CLP (M 條｜tiâu)))
            (NP (NN 枋｜pāng) (NN 橋｜kiû))
            (ADJP (JJ 純｜sûn))
            (NP (NN 情｜tsîng))))
        (VP (VV 曲｜Khioh))))
    (PU ，｜,)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"枋-橋｜Pâng-king 的｜ê 風｜hōng 啊｜á 繼-續｜kè-sio̍k 吹｜tshue ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (DNP (NP (NR 枋-橋｜Pâng-king)) (DEG 的｜ê)) (NP (NN 風｜hōng)))
    (FLR (SP 啊｜á))
    (VP (VV 繼-續｜kè-sio̍k) (VP (VV 吹｜tshue)))
    (PU ，｜,)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"吹｜Tshue 過｜kue 咱｜lán 細-漢｜sè-hàn 對-面｜tuì-bīn 彼｜hit 片｜phiàn 初-戀｜tshoo-luân 地｜te
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VV 吹｜Tshue)
      (AS 過｜kue)
      (NP
        (NP (PN 咱｜lán))
        (NP
          (NP (NR 細-漢｜sè-hàn))
          (NP (NN 對-面｜tuì-bīn))
          (ADJP (JJ 彼｜hit))
          (NP (NN 片｜phiàn)))
        (NP (NN 初-戀｜tshoo-luân) (NN 地｜te))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"有｜Ū 咱｜lán 青｜tshing 春-的｜tshun-ê 表｜piáu 白｜pe̍h ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (NP
        (NP (PN 咱｜lán))
        (DNP (ADJP (JJ 青｜tshing)) (DEG 春-的｜tshun-ê))
        (NP (NN 表｜piáu) (NN 白｜pe̍h))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 的｜ê 歌-聲｜kua-siann ，｜,
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (FRAG
    (NP (DNP (NP (NR 伊｜I)) (DEG 的｜ê)) (NP (NN 歌-聲｜kua-siann)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"本-底｜Pún-té 就｜tio̍h 好-聽｜hó-thiann ，｜, 飽｜Pa 滇｜tinn ，｜,
","['Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NN 本-底｜Pún-té))
      (VP
        (VP (ADVP (AD 就｜tio̍h)) (VP (VA 好-聽｜hó-thiann)))
        (PU ，｜,)
        (VP (VV 飽｜Pa) (NP (NR 滇｜tinn)))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '本調#', '毋是台語']"
"閣｜Koh 有｜ū 性｜sī 命｜niá 有｜ū 元-氣｜guân-khì
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (NN 閣｜Koh))
    (VP
      (VP (VE 有｜ū) (NP (NN 性｜sī) (NN 命｜niá)))
      (VP (VE 有｜ū) (NP (NN 元-氣｜guân-khì))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"一｜Tsi̍t 唱｜tshiūnn 這｜tsit 條｜tiâu 歌｜kua
","['Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 一｜Tsi̍t))
      (VP
        (VV 唱｜tshiūnn)
        (NP (DP (DT 這｜tsit) (CLP (M 條｜tiâu))) (NP (NN 歌｜kua)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"保-證｜Pó-tsìng 查-埔｜tsa-poo 查｜tshâ 某｜bóo 無-人｜bô-lâng 會｜ē 吵｜tsha 攏｜lóng 嘛｜mà 做-伙｜tsò-hué 學｜O̍h 內-底｜lāi-té 的｜ê 青-春｜tshing-tshun 男-女｜lâm-lí 輕-聲-細-說｜khin-siann-sè-sueh
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VV 保-證｜Pó-tsìng)
      (IP
        (NP (NR 查-埔｜tsa-poo))
        (VP
          (VV 查｜tshâ)
          (IP
            (NP (DP (DT 某｜bóo)) (NP (NN 無-人｜bô-lâng)))
            (VP
              (VV 會｜ē)
              (VP
                (VSB (VV 吵｜tsha) (VV 攏｜lóng))
                (IP
                  (FLR (SP 嘛｜mà))
                  (M 做-伙｜tsò-hué)
                  (NP
                    (CP
                      (IP (VP (VV 學｜O̍h) (NP (NN 內-底｜lāi-té))))
                      (DEC 的｜ê))
                    (NP (NN 青-春｜tshing-tshun) (NN 男-女｜lâm-lí)))
                  (VP (VV 輕-聲-細-說｜khin-siann-sè-sueh)))))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"親｜Tshing 像｜tshiōnn 枋-橋｜pâng-king 的｜ê 風｜hong 微｜bi 微｜bi 仔｜ah 吹｜tshue ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (VV 親｜Tshing)
        (IP
          (VP
            (PP
              (P 像｜tshiōnn)
              (NP
                (DNP (NP (NR 枋-橋｜pâng-king)) (DEG 的｜ê))
                (NP (NN 風｜hong))))
            (ADVP (AD 微｜bi))
            (ADVP (AD 微｜bi))
            (NP (NN 仔｜ah))
            (VP (VV 吹｜tshue))))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '本調#', '毋是台語']"
"做-伙｜Tsò-hué 聽｜thiann 枋｜pàng 橋｜kioh 在｜tsāi 地｜tè 人｜lâng 唱｜tshiònn 出｜tshut 故-鄉｜kòo-hiong 的｜ê 依｜i 戀｜Luān
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 做-伙｜Tsò-hué))
      (VP
        (VV 聽｜thiann)
        (UCP
          (CP
            (IP
              (NP (NN 枋｜pàng) (NN 橋｜kioh))
              (VP
                (PP (P 在｜tsāi) (NP (NN 地｜tè) (NN 人｜lâng)))
                (VP
                  (VRD (VV 唱｜tshiònn) (VV 出｜tshut))
                  (NP (NN 故-鄉｜kòo-hiong)))))
            (DEC 的｜ê))
          (PP (P 依｜i) (NP (NN 戀｜Luān))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#']"
"唱｜Tshiònn 出｜tshut 早-前｜tsá-tsîng 生-活｜sing-ua̍h 的｜ê 懷-念｜huâi-liām 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VRD (VV 唱｜Tshiònn) (VV 出｜tshut))
      (NP
        (DNP
          (NP (ADJP (JJ 早-前｜tsá-tsîng)) (NP (NN 生-活｜sing-ua̍h)))
          (DEG 的｜ê))
        (NP (NN 懷-念｜huâi-liām))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"查-某｜Tsa-bóo 的｜ê 聽-了｜thiann-liáu 無｜bô 感-動｜kám-tōng 才｜tsiah 奇｜kî
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP
      (DNP (NP (NR 查-某｜Tsa-bóo)) (DEG 的｜ê))
      (NP (NN 聽-了｜thiann-liáu)))
    (VP
      (VP (VE 無｜bô) (NP (NN 感-動｜kám-tōng)))
      (VP (ADVP (AD 才｜tsiah)) (VP (NN 奇｜kî))))))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"查-埔｜Tsa-poo 的｜ê 嘛｜mà 會｜ē 呵-咾｜o-ló 唱-歌｜tshiùnn-kua 的｜ê 歌｜kua 星｜tshinn
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (DNP (NP (NR 查-埔｜Tsa-poo)) (DEG 的｜ê))
    (FLR (SP 嘛｜mà))
    (VP
      (VV 會｜ē)
      (VP
        (VV 呵-咾｜o-ló)
        (NP
          (CP (IP (VP (VV 唱-歌｜tshiùnn-kua))) (DEC 的｜ê))
          (NP (NN 歌｜kua) (NN 星｜tshinn)))))))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#']"
"蕭｜Siau 煌｜hông 奇｜kî 無｜bô 因｜in 為｜uî 家｜ka 己-的｜tī-ê 目-睭｜ba̍k-tsiu 失｜sit 明｜bîng 失｜sit 志-去｜tsì-khì 消｜Siau 風｜hông 去｜khì 顛-倒｜tian-tò 用｜ióng 伊｜i 的｜ê 才-情｜tsâi-tsîng 拍｜pha 拚｜piànn 所｜sóo 得-著｜Tit-tio̍h 的｜ê 金｜kim 額｜giā 名-聲｜miâ-siann 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 蕭｜Siau))
    (VP
      (VV 煌｜hông)
      (NP
        (NP
          (ADJP (JJ 奇｜kî))
          (CP
            (IP
              (VP
                (VE 無｜bô)
                (IP
                  (VP
                    (VP
                      (PP
                        (P 因｜in)
                        (IP
                          (VP
                            (PP
                              (P 為｜uî)
                              (NP
                                (DNP (NP (NN 家｜ka)) (DEG 己-的｜tī-ê))
                                (NP (NN 目-睭｜ba̍k-tsiu))))
                            (VP (VV 失｜sit) (NP (VV 明｜bîng))))))
                      (VP (VV 失｜sit)))
                    (VP
                      (VV 志-去｜tsì-khì)
                      (VP (VV 消｜Siau) (NP (NN 風｜hông))))
                    (VP
                      (VP
                        (VP (VV 去｜khì))
                        (VP
                          (ADVP (AD 顛-倒｜tian-tò))
                          (VP
                            (VV 用｜ióng)
                            (NP
                              (DNP (NP (NR 伊｜i)) (DEG 的｜ê))
                              (NP (NN 才-情｜tsâi-tsîng))))))
                      (VP (VV 拍｜pha))
                      (VP
                        (VP (VV 拚｜piànn))
                        (VP (VV 所｜sóo) (AS 得-著｜Tit-tio̍h))))))))
            (DEC 的｜ê))
          (ADJP (JJ 金｜kim))
          (NP (NN 額｜giā)))
        (NP (NN 名-聲｜miâ-siann))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"對｜Uì 仝｜kâng 款｜khuán 青-盲｜tshenn-mê 的｜ê 人｜lâng 開｜khui 一-間｜tsi̍t-king 按｜Án 一｜it 個｜kò 讚｜tsàn 掠-龍｜Lia̍h-lîng 的｜ê 店｜tiàm ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (FRAG
    (LCP
      (IP
        (NP
          (DNP
            (PP
              (P 對｜Uì)
              (NP (NN 仝｜kâng) (NN 款｜khuán) (NN 青-盲｜tshenn-mê)))
            (DEC 的｜ê))
          (NP (NN 人｜lâng)))
        (VP (VV 開｜khui)))
      (LC 一-間｜tsi̍t-king))
    (PP
      (P 按｜Án)
      (NP
        (DNP
          (NP
            (QP (CD 一｜it) (CLP (M 個｜kò)))
            (ADJP (JJ 讚｜tsàn))
            (NP (NN 掠-龍｜Lia̍h-lîng)))
          (DEG 的｜ê))
        (NP (NN 店｜tiàm))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '本調#', '毋是台語']"
"予｜Hōo 遮-的｜tsia̍h-ê 目-睭｜ba̍k-tsiu 失｜sī 光-明｜kong-bîng 的｜ê 人｜lâng 生-活｜sing-ua̍h 前-途｜tsiân-tôo 有｜Ū 補｜póo 添｜thiam
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP
      (CP (IP (VP (VV 予｜Hōo))) (DEC 遮-的｜tsia̍h-ê))
      (NP (NN 目-睭｜ba̍k-tsiu)))
    (VP
      (VV 失｜sī)
      (IP
        (IP
          (NP
            (CP (IP (VP (VA 光-明｜kong-bîng))) (DEC 的｜ê))
            (NP (NN 人｜lâng)))
          (VP (VV 生-活｜sing-ua̍h) (NP (NN 前-途｜tsiân-tôo))))
        (VP (VP (VE 有｜Ū) (NP (NN 補｜póo))) (VP (VV 添｜thiam)))))))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"枋｜Pàng 橋｜kiō 處｜tshù 處｜tshù 有｜ū 純｜sûn 情｜tsîng
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP
      (NP (QP (OD 枋｜Pàng)) (NP (NN 橋｜kiō)))
      (NP (NN 處｜tshù) (NN 處｜tshù)))
    (VP (VE 有｜ū) (NP (ADJP (JJ 純｜sûn)) (NP (NN 情｜tsîng))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"有｜Ū 古-錐｜kóo-tsui 活｜ua̍h 跳｜thiàu 的｜ê 愛-情｜ài-tsîng
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (IP
        (NP (NN 古-錐｜kóo-tsui))
        (VP
          (VV 活｜ua̍h)
          (NP
            (CP (IP (VP (VV 跳｜thiàu))) (DEC 的｜ê))
            (NP (NN 愛-情｜ài-tsîng))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#']"
"第｜Tē 十-七｜tsa̍p-tshit 篇｜phinn ，｜,
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (INC
    (QP (QP (OD 第｜Tē)) (QP (CD 十-七｜tsa̍p-tshit) (CLP (M 篇｜phinn))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋｜M̄ 認-輸｜jīn-su
","['Na', 'Na']",(ROOT (IP (VP (ADVP (AD 毋｜M̄)) (VP (VV 認-輸｜jīn-su))))),"['規則變調', '規則變調', '本調#']"
