分詞,詞性,句法,變調
"你｜Lí 佮｜kah 伊｜i 仝-款｜kāng-khuán 躼｜lò 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VV 佮｜kah)
      (NP (NP (NR 伊｜i)) (NP (NN 仝-款｜kāng-khuán) (NN 躼｜lò))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"In｜In 兩｜nn̄g 个｜ê 平-平｜pênn-pênn 五-十｜gōo-tsa̍p khí-looh｜khí-looh 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NP (NN In｜In))
        (QP (CD 兩｜nn̄g) (CLP (M 个｜ê)))
        (VP
          (ADVP (AD 平-平｜pênn-pênn))
          (VP
            (NP (QP (CD 五-十｜gōo-tsa̍p)) (NP (NN khí-looh｜khí-looh)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 佮｜kah 阿-美-仔｜A-bí-á 平-平-仔｜pênn-pênn-á 十-八｜tsa̍p-peh 歲｜huè 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NP (NR 伊｜I)) (NP (NN 佮｜kah)))
    (NP (NR 阿-美-仔｜A-bí-á) (NR 平-平-仔｜pênn-pênn-á))
    (VP (QP (CD 十-八｜tsa̍p-peh) (CLP (M 歲｜huè))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 有｜ū 伊｜i 的｜ê 兩｜nn̄g 倍｜puē 巧｜khiáu 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VE 有｜ū)
      (NP
        (DNP (NP (NR 伊｜i)) (DEG 的｜ê))
        (QP (CD 兩｜nn̄g) (CLP (M 倍｜puē)))
        (NP (VA 巧｜khiáu))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 有｜ū 伊｜i 遐｜hiah 用-功｜iōng-kong 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VE 有｜ū)
      (IP
        (NP (NP (NR 伊｜i)) (NP (NN 遐｜hiah)))
        (VP (VV 用-功｜iōng-kong))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 有｜ū 伊｜i 遐｜hiah 拍-拚｜phah-piànn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VE 有｜ū)
      (IP
        (NP (NP (NR 伊｜i)) (NP (NN 遐｜hiah)))
        (VP (VV 拍-拚｜phah-piànn))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 無｜bô 伊｜i 的｜ê 三｜sann 成｜siânn 巧｜khiáu 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VE 無｜bô)
      (IP
        (DNP (NP (NR 伊｜i)) (DEG 的｜ê))
        (IP (QP (CD 三｜sann) (CLP (M 成｜siânn))) (VP (VA 巧｜khiáu)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 無｜bô 伊｜i 遐｜hiah 歹-心｜pháinn-sim 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VE 無｜bô)
      (NP (NP (NR 伊｜i)) (NP (NN 遐｜hiah) (NN 歹-心｜pháinn-sim))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 親-像｜tshan-tshiūnn 豬｜ti 遮｜tsiah 大-箍｜tuā-khoo 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (PP (P 親-像｜tshan-tshiūnn) (NP (NN 豬｜ti)))
      (VP (VV 遮｜tsiah) (NP (NN 大-箍｜tuā-khoo))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜Tse 目-睭｜ba̍k-tsiu 親-像｜tshan-tshiūnn 阿-姨｜a-î 遮｜tsiah 大｜tuā 蕊｜luí 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 這｜Tse))
    (VP
      (VV 目-睭｜ba̍k-tsiu)
      (IP
        (VP
          (PP (P 親-像｜tshan-tshiūnn) (NP (NN 阿-姨｜a-î)))
          (VP (VV 遮｜tsiah) (NP (ADJP (JJ 大｜tuā)) (NP (NN 蕊｜luí)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 的｜ê 心｜sim 就｜tō 親-像｜tshan-tshiūnn 冰｜ping 遐-爾｜hiah-nī 冷｜líng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (DNP (NP (PN 我｜Guá)) (DEG 的｜ê)) (NP (NN 心｜sim)))
    (VP
      (ADVP (AD 就｜tō))
      (PP (P 親-像｜tshan-tshiūnn) (NP (NN 冰｜ping) (NN 遐-爾｜hiah-nī)))
      (VP (VA 冷｜líng)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"烏-面-抐-桮｜Oo-bīn-lā-pue 比｜pí 厝-角-鳥｜tshù-kak-tsiáu 較｜khah 大｜tuā 隻｜tsiah 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 烏-面-抐-桮｜Oo-bīn-lā-pue))
    (PP
      (P 比｜pí)
      (NP
        (NP (NN 厝-角-鳥｜tshù-kak-tsiáu))
        (ADJP (ADVP (AD 較｜khah)) (ADJP (JJ 大｜tuā)))
        (NP (NN 隻｜tsiah))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"苦-楝-舅｜Khóo-līng-kū 比｜pí sa-khú-lah｜sa-khú-lah 閣-較｜koh-khah 好｜hó 種｜tsìng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 苦-楝-舅｜Khóo-līng-kū))
    (VP
      (PP (P 比｜pí) (NP (NN sa-khú-lah｜sa-khú-lah)))
      (VP
        (NP
          (ADJP (ADVP (AD 閣-較｜koh-khah)) (ADJP (JJ 好｜hó)))
          (NP (NN 種｜tsìng)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"鹿-仔-樹｜Lo̍k-á-tshiū 比｜pí 樟-仔｜tsiunn-á 發｜huat 了｜liáu 較｜khah 密｜ba̍t 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 鹿-仔-樹｜Lo̍k-á-tshiū))
    (VP
      (PP (P 比｜pí) (NP (NR 樟-仔｜tsiunn-á)))
      (VP
        (VV 發｜huat)
        (AS 了｜liáu)
        (IP (VP (ADVP (AD 較｜khah)) (VP (VA 密｜ba̍t))))))
    (PU 。｜.)))","['仔前變調&', '規則變調', '本調#', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"電-鍋-炊｜Tiān-ko-tshue 比｜pí gá-suh-爐｜gá-suh-lôo 利-便｜lī-piān 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 電-鍋-炊｜Tiān-ko-tshue))
    (VP
      (PP (P 比｜pí) (NP (NN gá-suh-爐｜gá-suh-lôo)))
      (VP (VV 利-便｜lī-piān)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"駛-車｜Sái-tshia 無｜bô 比｜pí 坐｜tsē 火-車｜hué-tshia 閣｜koh 較｜khah 俗｜sio̍k 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 駛-車｜Sái-tshia))
    (VP
      (VE 無｜bô)
      (IP
        (PP (P 比｜pí) (IP (VP (VV 坐｜tsē) (NP (NN 火-車｜hué-tshia)))))
        (NP (NN 閣｜koh))
        (VP (ADVP (AD 較｜khah)) (VP (VA 俗｜sio̍k)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"珊-瑚-礁｜Suan-ôo-tsiau 無｜bô 比｜pí 海-草-礁｜hái-tsháu-ta 生｜senn 了｜liáu 較｜khah 慢｜bān 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NN 珊-瑚-礁｜Suan-ôo-tsiau))
      (VP
        (VE 無｜bô)
        (VP
          (PP (P 比｜pí) (NP (NN 海-草-礁｜hái-tsháu-ta)))
          (VP
            (VV 生｜senn)
            (AS 了｜liáu)
            (IP (VP (ADVP (AD 較｜khah)) (VP (VA 慢｜bān))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"蛇-龜｜Tsuâ-ku 走｜tsáu 無｜bô 比｜pí 蛇｜tsuâ 緊｜kín 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 蛇-龜｜Tsuâ-ku))
      (VP
        (VV 走｜tsáu)
        (VP
          (VE 無｜bô)
          (VP (PP (P 比｜pí) (NP (NN 蛇｜tsuâ))) (VP (VA 緊｜kín))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"蚵-仔｜Ô-á 比｜pí 螺-仔｜lê-á 較｜khah 貴｜kuì 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 蚵-仔｜Ô-á))
    (VP
      (PP (P 比｜pí) (NP (NN 螺-仔｜lê-á)))
      (ADVP (AD 較｜khah))
      (VP (VA 貴｜kuì)))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '仔前變調&', '本調#', '規則變調', '本調#', '毋是台語']"
"魚-仔｜Hî-á 比｜pí 軟-絲-仔｜nńg-si-á 泅｜siû 較｜khah 緊｜kín 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 魚-仔｜Hî-á))
    (VP
      (PP (P 比｜pí) (NP (NN 軟-絲-仔｜nńg-si-á) (NN 泅｜siû)))
      (ADVP (AD 較｜khah))
      (VP (VA 緊｜kín)))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"市-仔｜Tshī-á 賣-的｜bē-ê 袂｜bē 比｜pí 超-市｜tshiau-tshī 閣-較｜koh-khah 俗｜sio̍k 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (DNP (NP (NN 市-仔｜Tshī-á)) (DEG 賣-的｜bē-ê)) (NP (NN 袂｜bē)))
    (VP
      (PP (P 比｜pí) (NP (NN 超-市｜tshiau-tshī)))
      (ADVP (AD 閣-較｜koh-khah))
      (VP (VA 俗｜sio̍k)))
    (PU 。｜.)))","['仔前變調&', '本調#', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"蝶-仔｜Ia̍h-á 袂｜bē 比｜pí 鳥-仔｜tsiáu-á 飛｜pue 較｜khah 遠｜hn̄g 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NP (NR 蝶-仔｜Ia̍h-á)) (NP (NN 袂｜bē)))
      (VP
        (PP (P 比｜pí) (NP (NR 鳥-仔｜tsiáu-á)))
        (VP (VV 飛｜pue) (VP (ADVP (AD 較｜khah)) (VP (VA 遠｜hn̄g))))))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"馬-仔｜Bé-á 走｜tsáu 比｜pí 羊-仔｜iûnn-á 緊｜kín 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 馬-仔｜Bé-á))
    (VP
      (VV 走｜tsáu)
      (IP (VP (PP (P 比｜pí) (NP (NN 羊-仔｜iûnn-á))) (VP (VA 緊｜kín)))))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '規則變調', '仔前變調&', '本調#', '本調#', '毋是台語']"
"豬-仔｜Ti-á 食｜tsia̍h 無｜bô 比｜pí 牛｜gû 濟｜tsē 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 豬-仔｜Ti-á))
    (VP
      (VV 食｜tsia̍h)
      (IP
        (VP
          (VE 無｜bô)
          (VP (PP (P 比｜pí) (NP (NN 牛｜gû))) (VP (VV 濟｜tsē))))))
    (PU 。｜.)))","['仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 今-仔-日｜kin-á-ji̍t 比｜pí 其-他｜kî-thann 同-學｜tông-o̍h 閣-較｜koh-khah 早｜tsá 來｜lâi 學-校｜ha̍k-hāu 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (NP (NT 今-仔-日｜kin-á-ji̍t))
      (PP
        (P 比｜pí)
        (NP
          (DP (DT 其-他｜kî-thann))
          (NP (NN 同-學｜tông-o̍h) (NN 閣-較｜koh-khah))))
      (ADVP (AD 早｜tsá))
      (VP (VV 來｜lâi) (NP (NN 學-校｜ha̍k-hāu))))
    (PU 。｜.)))","['規則變調', '仔前變調&', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 躼｜lò 過｜kuè 伊｜i 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP (VV 躼｜lò) (AS 過｜kuè) (NP (NR 伊｜i)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"行-路｜Kiânn-lōo 慢｜bān 過｜kuè 坐｜tsē 車｜tshia 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VCD (VV 行-路｜Kiânn-lōo) (VV 慢｜bān))
      (AS 過｜kuè)
      (IP (VP (VV 坐｜tsē) (NP (NN 車｜tshia)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"行-路｜Kiânn-lōo 袂｜bē 慢｜bān 過｜kuè 坐｜tsē 車｜tshia 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP (VP (VV 行-路｜Kiânn-lōo) (NP (NN 袂｜bē))))
    (VP (VV 慢｜bān) (AS 過｜kuè) (IP (VP (VV 坐｜tsē) (NP (NN 車｜tshia)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜Tsit 蕊｜luí 花｜hue 媠｜suí 過｜kuè 任-何｜jīm-hô 的｜ê 花-草｜hue-tsháu 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP
        (DP (DT 這｜Tsit) (CLP (M 蕊｜luí)))
        (NP (NN 花｜hue) (NN 媠｜suí)))
      (VP
        (VV 過｜kuè)
        (NP
          (DNP (DP (DT 任-何｜jīm-hô)) (DEG 的｜ê))
          (NP (NN 花-草｜hue-tsháu)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜Tsit 位｜uī 小-姐｜sió-tsiá 媠｜suí 過｜kuè 任-何｜jīm-hô 人｜lâng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (DP (DT 這｜Tsit) (CLP (M 位｜uī))) (NP (NN 小-姐｜sió-tsiá)))
    (VP
      (VV 媠｜suí)
      (AS 過｜kuè)
      (NP (DP (DT 任-何｜jīm-hô)) (NP (NN 人｜lâng))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"一｜Tsi̍t 座｜tsō 山｜suann 懸｜kuân 過｜kuè 一｜tsi̍t 座｜tsō 山｜suann 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (QP (CD 一｜Tsi̍t) (CLP (M 座｜tsō))) (NP (NN 山｜suann)))
    (VP
      (VV 懸｜kuân)
      (AS 過｜kuè)
      (NP (QP (CD 一｜tsi̍t) (CLP (M 座｜tsō))) (NP (NN 山｜suann))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 躼｜lò 伊｜i 差-不-多｜tsha-put-to 兩｜nn̄g 公-分｜kong-hun 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (VV 躼｜lò)
      (QP
        (NP (NR 伊｜i))
        (ADVP (AD 差-不-多｜tsha-put-to))
        (QP (CD 兩｜nn̄g) (CLP (M 公-分｜kong-hun)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"大-姊｜Tuā-tsé 加｜ke 我｜guá 無｜bô 幾｜kuí 歲｜huè 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 大-姊｜Tuā-tsé))
      (VP
        (VP (VV 加｜ke) (NP (PN 我｜guá)))
        (VP (VE 無｜bô) (QP (CD 幾｜kuí) (CLP (M 歲｜huè))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 減｜kiám 以-早｜í-tsá 一-屑-仔｜tsi̍t-sut-á 爾-爾｜niā-niā 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (VV 減｜kiám)
      (IP
        (VP
          (ADVP (AD 以-早｜í-tsá))
          (ADVP (AD 一-屑-仔｜tsi̍t-sut-á))
          (VP (VV 爾-爾｜niā-niā)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '本調#', '毋是台語']"
"我｜Guá 開｜khai 的｜ê 錢｜tsînn 佮｜kah 阿-姊｜a-tsé 平｜pênn 濟｜tsē 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (CP (IP (NP (PN 我｜Guá)) (VP (VV 開｜khai))) (DEC 的｜ê))
      (NP (NN 錢｜tsînn)))
    (VP
      (VV 佮｜kah)
      (IP (NP (NR 阿-姊｜a-tsé)) (VP (VCD (VV 平｜pênn) (VV 濟｜tsē)))))
    (PU 。｜.)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 頭-殼｜thâu-khak 有｜ū 伊｜i 遐-爾｜hiah-nī 好｜hó 就｜tō 好｜hó 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí) (NN 頭-殼｜thâu-khak))
    (VP
      (VE 有｜ū)
      (IP
        (NP (NR 伊｜i) (NR 遐-爾｜hiah-nī))
        (VP (ADVP (AD 好｜hó)) (ADVP (AD 就｜tō)) (VP (VA 好｜hó)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 有｜ū 伊｜i 的｜ê 頭-殼｜thâu-khak 遐-爾｜hiah-nī 精-光｜tsing-kong 就｜tō 好｜hó 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VP
        (VE 有｜ū)
        (IP
          (NP (DNP (NP (NR 伊｜i)) (DEG 的｜ê)) (NP (NN 頭-殼｜thâu-khak)))
          (VP (NP (NR 遐-爾｜hiah-nī)) (VP (VV 精-光｜tsing-kong)))))
      (VP (ADVP (AD 就｜tō)) (VP (VA 好｜hó))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 比｜pí siáng｜siáng 攏｜lóng 緊-張｜kín-tiunn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (PP (P 比｜pí) (NP (NR siáng｜siáng)))
      (VP (VV 攏｜lóng) (IP (VP (VA 緊-張｜kín-tiunn)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 比｜pí 啥-人｜siánn-lâng 攏｜lóng 貧-惰｜pîn-tuānn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (PP (P 比｜pí) (NP (NN 啥-人｜siánn-lâng)))
      (VP (VV 攏｜lóng) (NP (NN 貧-惰｜pîn-tuānn))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 看｜khuànn 你｜lí ，｜, 人｜lâng 比｜pí 你｜lí gâu｜gâu 講-話｜kóng-uē ，｜, 嘛｜mā 小｜sió 綴｜tuè 人｜lâng 學-一-下｜o̍h-tsi̍t-ē 。｜.
","['Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP (NP (PN 你｜Lí)) (VP (VV 看｜khuànn) (NP (PN 你｜lí))))
    (PU ，｜,)
    (IP
      (NP (NN 人｜lâng))
      (VP
        (PP
          (P 比｜pí)
          (NP (NP (PN 你｜lí)) (NP (NN gâu｜gâu) (NN 講-話｜kóng-uē))))
        (PU ，｜,)
        (ADVP (AD 嘛｜mā))
        (VP
          (NP
            (NP (ADJP (JJ 小｜sió)) (NP (VV 綴｜tuè)))
            (NP (NN 人｜lâng)))
          (ADVP (AD 學-一-下｜o̍h-tsi̍t-ē)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-安｜A-an 比｜pí 阿-發｜A-huat 加｜ke 蓋｜kài 儉｜khiām 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NR 阿-安｜A-an))
      (VP
        (PP (P 比｜pí) (NP (NR 阿-發｜A-huat)))
        (VP (VV 加｜ke) (VP (VV 蓋｜kài) (NP (NN 儉｜khiām))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-秀-仔｜A-siù-á 比｜pí 阿-嬌-姨｜A-kiau-î 加｜ke 真｜tsin 媠｜suí 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 阿-秀-仔｜A-siù-á))
    (VP
      (PP (P 比｜pí) (NP (NR 阿-嬌-姨｜A-kiau-î) (NR 加｜ke)))
      (ADVP (AD 真｜tsin))
      (VP (VA 媠｜suí)))
    (PU 。｜.)))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-發｜A-huat 加｜ke 比｜pí 阿-成｜A-sîng 兩-光｜lióng-kong 濟-囉｜tsē-looh 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 阿-發｜A-huat) (NR 加｜ke))
    (VP
      (PP (P 比｜pí) (NP (NR 阿-成｜A-sîng)))
      (ADVP (AD 兩-光｜lióng-kong))
      (VP (VV 濟-囉｜tsē-looh)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
